ID,Idiom,Meaning,Business Example,Cantonese Note,Category,Level,Related Idiom,Emoji,Image
1,Think outside the box,Think creatively,"""Think outside the box for new ideas.""",Different from Cantonese thinking,Creativity,Medium,Break the mold,🧠📦,res/Think-Outside-the-Box.png.webp
2,Ballpark figure,Rough estimate,"""Give me a ballpark figure.""",Similar to 大約幾多,Numbers,Easy,Roughly,⚾📊,res/ballpark-figure.png
3,Get the ball rolling,Start something,"""Let's get the ball rolling on the project.""",Like 開始做嘢,Action,Easy,Kick off,🏃‍♂️💨,res/get-the-ball-rolling.webp
4,On the same page,Everyone agrees,"""Are we on the same page?""",Same as 同一頁上,Communication,Medium,Agree,📖🤝,res/on-the-same-page.png
5,Touch base,Contact briefly,"""I'll touch base next week.""",No direct translation,Communication,Medium,Check in,📞👋,res/touch-base.jpg
6,Cut corners,Do poorly to save,"""Don't cut corners on quality.""",Like 求求其其,Quality,Medium,Save time,✂️📉,res/cut-corners.webp
7,Back to drawing board,Start over,"""Back to the drawing board.""",Like 重新嚟過,Problem-solving,Medium,Start over,🔙📝,res/back-to-drawing-board.jpg
8,All eggs in one basket,Risk everything,"""Don't put all eggs in one basket.""",Similar to 孤注一擲,Risk,Easy,Diversify,🥚🧺,res/all-eggs-in-one-basket.webp
9,Read between lines,Understand hidden meaning,"""Read between the lines of the email.""",Like 睇字裏行間,Communication,Hard,Hidden meaning,📖👀,res/read-between-lines.jpeg
10,Break the ice,Make comfortable,"""Break the ice with a joke.""",Similar to 搞氣氛,Social,Easy,Warm up,❄️🔨,res/break-the-ice.webp
11,Circle back,Return to topic later,"""Let's circle back to this.""",No direct equivalent,Meetings,Medium,Return to,🔄,res/circle-back.jpeg
12,Move the needle,Make noticeable difference,"""This will move the needle.""",Important business term,Results,Medium,Make impact,📈💪,res/move-the-needle.webp
